frequency,Z_real,Z_imag
4.0,36.023414611816406,-7.503340244293213
12.5,32.33091354370117,-4.7420806884765625
21.0,31.174604415893555,-3.82985520362854
29.5,30.51457405090332,-3.369385242462158
38.0,30.05080795288086,-3.0741682052612305
46.5,29.750591278076172,-2.8624038696289062
63.5,29.262990951538086,-2.6062467098236084
80.5,28.960935592651367,-2.437978506088257
123.0,28.42855453491211,-2.1480793952941895
157.0,28.145366668701172,-2.0174543857574463
199.5,27.89413070678711,-1.8984451293945312
250.5,27.670883178710938,-1.7818795442581177
318.5,27.402734756469727,-1.7356960773468018
394.0,27.186464309692383,-1.6566493511199951
496.5,26.978382110595703,-1.5901561975479126
626.0,26.75794219970703,-1.535797119140625
792.5,26.544353485107422,-1.4799866676330566
997.5,26.32874298095703,-1.453402042388916
1256.0,26.1510009765625,-1.3848365545272827
1581.0,25.957305908203125,-1.3514580726623535
1990.5,25.77469253540039,-1.3132903575897217
2506.0,25.584280014038086,-1.2956150770187378
3155.0,25.421598434448242,-1.2680991888046265
3971.5,25.25172996520996,-1.2430965900421143
5000.0,25.093944549560547,-1.259191870689392
6294.5,24.98042106628418,-1.264672875404358
7924.5,24.820356369018555,-1.3206377029418945
9976.5,24.65485382080078,-1.3697723150253296
12559.5,24.497447967529297,-1.4621769189834595
15811.5,24.28110122680664,-1.536534309387207
19905.5,24.097305297851562,-1.6527411937713623
25059.5,23.839784622192383,-1.7577738761901855
31548.0,23.556869506835938,-1.8809049129486084
39716.5,23.24283790588379,-2.0018224716186523
50000.0,22.89692497253418,-2.0962958335876465
62946.5,22.521120071411133,-2.159607410430908
79245.0,22.13997459411621,-2.198241710662842
99763.5,21.721343994140625,-2.187394618988037
125594.5,21.32227897644043,-2.119753122329712
158114.0,20.949207305908203,-2.0274786949157715
199054.0,20.6114559173584,-1.9290776252746582
250594.0,20.294139862060547,-1.7831387519836426
315479.0,20.014389038085938,-1.624895453453064
397164.5,19.73396110534668,-1.4696933031082153
500000.0,19.497032165527344,-1.2913861274719238
